heterozygous essentials b isolates			release 1										
Synced to SGD on Sat Jul  8 00:51:41 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	record no.	strain	rg notes	db notes	
401	A	2	YAL043C	PTA1	RNA-processing protein PTA1|FUN39	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	tRNA processing, mRNA processing, transcription from RNA polymerase II promoter, DNA-templated transcription, termination	RNA binding	nucleus	20362	chr1_1	-	-	
401	A	3	YAL041W	CDC24	Rho family guanine nucleotide exchange factor CDC24|CLS4	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	mitotic cell cycle, organelle fission, cytoskeleton organization, regulation of organelle organization, cytokinesis, signaling, regulation of cell cycle	guanyl-nucleotide exchange factor activity	nucleus, cellular bud, site of polarized growth, cytoplasm	20365	chr1_1		met- did not mate	
401	A	4	YAL038W	CDC19	pyruvate kinase CDC19|PYK1	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication	carbohydrate metabolic process, cofactor metabolic process, generation of precursor metabolites and energy, monocarboxylic acid metabolic process, nucleobase-containing small molecule metabolic process	transferase activity	membrane, cytoplasm, plasma membrane	20368	chr1_1	-	-	
401	A	5	YAL034W-a	membrane, cytoplasm, plasma membrane	membrane, cytoplasm, plasma membrane	membrane, cytoplasm, plasma membrane	-	-	-	20372	chr1_1	-	-	
401	A	6	YAL035C-a	-	-	-	-	-	-	20373	chr1_1	-	-	
401	A	7	YAL033W	POP5	RNA-binding protein POP5|FUN53	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	snoRNA processing, rRNA processing, RNA catabolic process, tRNA processing	RNA binding, hydrolase activity, nuclease activity	nucleus, nucleolus	20375	chr1_1	-	-	
401	A	8	YAL032C	PRP45	mRNA splicing protein PRP45|FUN20	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	RNA splicing, mRNA processing	other	nucleus	20376	chr1_1	-	-	
401	A	9	YAL025C	MAK16	ribosome biosynthesis protein MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	rRNA processing, ribosomal large subunit biogenesis	molecular_function	nucleus, nucleolus	20383	chr1_1	-	-	
401	A	10	YAL003W	EFB1	translation elongation factor 1 subunit beta|EF-1beta|eEF1Balpha|TEF5	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants	regulation of translation, cytoskeleton organization, regulation of organelle organization, translational elongation	guanyl-nucleotide exchange factor activity	cytoplasm	20404	chr1_1	-	-	
401	A	11	YAL001C	TFC3	transcription factor TFIIIC subunit TFC3|tau 138|TSV115|FUN24	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	transcription from RNA polymerase III promoter	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding	nucleus, chromosome, mitochondrion, cytoplasm	20406	chr1_1	-	-	
