Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	mutation	alpha library plate	alpha library row	alpha library column	notes	
[DPI-1]	1	1	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-1]	1	2	YML032C	RAD52	recombinase RAD52	Protein that stimulates strand exchange; stimulates strand exchange by facilitating Rad51p binding to single-stranded DNA; anneals complementary single-stranded DNA; involved in the repair of double-strand breaks in DNA during vegetative growth and meiosis and UV induced sister chromatid recombination	meiotic cell cycle, DNA repair, telomere organization, organelle fission, cellular response to DNA damage stimulus, DNA recombination	other	nucleus, chromosome	rad52 null	 	E	8	
[DPI-1]	1	3	YMR190C	SGS1	ATP-dependent DNA helicase SGS1	RecQ family nucleolar DNA helicase; role in genome integrity maintenance, chromosome synapsis, meiotic joint molecule/crossover formation; stimulates activity of Top3p; rapidly lost in response to rapamycin in Rrd1p-dependent manner; forms nuclear foci upon DNA replication stress; yeast SGS1 complements mutations in human homolog BLM implicated in Bloom syndrome; also similar to human WRN implicated in Werner syndrome; human BLM and WRN can each complement yeast null mutant	mitotic cell cycle, meiotic cell cycle, organelle fission, DNA replication, DNA recombination, DNA repair, telomere organization, regulation of organelle organization, cellular response to DNA damage stimulus, chromosome segregation, regulation of DNA metabolic process, regulation of cell cycle	hydrolase activity, helicase activity, ATPase activity	nucleus, chromosome, nucleolus	sgs1 null	1	E	15	
[DPI-1]	1	4	YLR021W	IRC25	DMP2|PBA3|POC3	Component of a heterodimeric Poc4p-Irc25p chaperone; involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions; upregulates proteasome assembly in response to the unfolded protein response activated by mistargeting of proteins (UPRam)	RNA catabolic process, protein complex biogenesis	molecular_function	other	irc25 null	1	F	7	
[DPI-1]	1	5	YMR224C	MRE11	MRX complex nuclease subunit|NGS1|XRS4|RAD58	Nuclease subunit of the MRX complex with Rad50p and Xrs2p; complex functions in repair of DNA double-strand breaks and in telomere stability; Mre11p associates with Ser/Thr-rich ORFs in premeiotic phase; nuclease activity required for MRX function; widely conserved; forms nuclear foci upon DNA replication stress	meiotic cell cycle, DNA repair, organelle fission, sporulation, cellular response to DNA damage stimulus, DNA recombination	kinase activity, transferase activity, hydrolase activity, DNA binding, structural molecule activity, nuclease activity	nucleus, mitochondrion, cytoplasm	mre11 null	1	I	11	
[DPI-1]	1	6	YLL002W	RTT109	H3 histone acetyltransferase RTT109|KAT11|REM50|KIM2	Histone acetyltransferase; critical for cell survival in presence of DNA damage during S phase, required for recovery after DSB repair; acetylates H3K56, H3K9; H3K56 acetylation activity required for expression homeostasis, buffering of mRNA synthesis rate against changes in gene dosage during S phase; involved in non-homologous end joining and regulation of Ty1 transposition; prevents hyper-amplification of rDNA; interacts physically with Vps75p	peptidyl-amino acid modification, DNA repair, protein acylation, chromatin organization, cellular response to DNA damage stimulus, transposition, histone modification, regulation of DNA metabolic process, transcription from RNA polymerase II promoter	transferase activity	nucleus	rtt109 null	1	L	20	
[DPI-1]	1	7	YML058W	SML1	ribonucleotide reductase inhibiting protein SML1	Ribonucleotide reductase inhibitor; involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase; SML1 has a paralog, DIF1, that arose from the whole genome duplication	mitochondrion organization, cellular response to DNA damage stimulus	enzyme regulator activity	nucleus, cytoplasm	sml1 null	1	O	6	
[DPI-1]	1	8	YMR284W	YKU70	ATP-dependent DNA helicase YKU70|KU70|NES24|HDF1	Subunit of the telomeric Ku complex (Yku70p-Yku80p); involved in telomere length maintenance, structure and telomere position effect; required for localization of telomerase ribonucleoprotein to nucleus via interaction with the TLC1 guide RNA; relocates to sites of double-strand cleavage to promote nonhomologous end joining during DSB repair	DNA repair, telomere organization, chromatin organization, cellular response to DNA damage stimulus, DNA recombination	RNA binding, DNA binding	nucleus, endomembrane system, chromosome	yku70	1	O	21	
[DPI-1]	1	9	YOR035C	SHE4	DIM1	Protein containing a UCS (UNC-45/CRO1/SHE4) domain; binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization	cytoskeleton organization	cytoskeletal protein binding	cytoplasm	she4 null	2	D	9	
[DPI-1]	1	10	YOR039W	CKB2	casein kinase 2 regulatory subunit CKB2	Beta' regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase	transcription from RNA polymerase I promoter, peptidyl-amino acid modification, protein phosphorylation, transcription from RNA polymerase III promoter, cellular response to DNA damage stimulus	enzyme regulator activity	nucleus, nucleolus	ckb2 null	2	D	17	
