mat a
all strains contain gfp tagged protein with his3 marker													
Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	abundance	original localization	comments	typical to this lib	
1	A	1	YLR106C	MDN1	AAA family ATPase midasin|REA1	Huge dynein-related AAA-type ATPase (midasin); forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p); acts in removal of ribosomal biogenesis factors at successive steps of pre-60S assembly and export from nucleus	rRNA processing, organelle assembly, ribosomal large subunit biogenesis, ribosome assembly	hydrolase activity, ATPase activity	nucleus, mitochondrion, cytoplasm	538	"cytoplasm,nucleus"	-	-	
1	A	2	YLL021W	SPA2	PPF1|PEA1|FUS6	Component of the polarisome; functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate; coding sequence contains length polymorphisms in different strains; SPA2 has a paralog, SPH1, that arose from the whole genome duplication	mitotic cell cycle, response to chemical, cell morphogenesis, cell budding, cytoskeleton organization, regulation of organelle organization, cytokinesis, conjugation, pseudohyphal growth	enzyme binding, structural molecule activity	cell cortex, cellular bud, site of polarized growth, cytoplasm	-	-	-	-	
1	A	3	YLR454W	FMP27	-	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	biological_process	molecular_function	mitochondrion, cytoplasm	1360	ambiguous	-	-	
1	A	4	YDL112W	TRM3	tRNA (guanosine(18)-2'-O)-methyltransferase	2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs	tRNA processing, RNA modification	transferase activity, methyltransferase activity	cytoplasm	861	cytoplasm	-	-	
1	A	5	YJL130C	URA2	bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase	Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase; catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP	nucleobase-containing small molecule metabolic process, cellular amino acid metabolic process	transferase activity, ligase activity	membrane, mitochondrion, cytoplasm	11000	cytoplasm	-	-	
1	A	6	YCR081W	SRB8	MED12|YCR080W|SSN5|NUT6|GIG1	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression	response to chemical, transcription from RNA polymerase II promoter	transcription factor activity, protein binding	nucleus	1730	cytoplasm	-	-	
1	A	7	YKL182W	FAS1	tetrafunctional fatty acid synthase subunit FAS1	Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities	lipid metabolic process, monocarboxylic acid metabolic process	lyase activity, transferase activity, oxidoreductase activity	mitochondrion, cytoplasm	91800	cytoplasm	-	-	
1	A	8	YPR164W	MMS1	SLM6|RTT108	Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase, preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay	RNA catabolic process, DNA repair, DNA replication, DNA recombination, cellular response to DNA damage stimulus, transposition	molecular_function	other	-	-	-	-	
1	A	9	YNL339C	YRF1-6	Y' element ATP-dependent helicase protein 1 copy 6|YRF1	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p	telomere organization, DNA recombination	helicase activity, hydrolase activity	nucleus	-	-	-	-	
1	A	10	YIL159W	BNR1	formin BNR1	Formin; nucleates the formation of linear actin filaments; involved in processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; activity is regulated by Hof1p and by the Bud14p-Kel1p-Kel2p complex; dephosphorylated and delocalized from the division site in a Glc7p/Ref2p-dependent manner; functionally redundant with BNI1	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis	other	cellular bud, site of polarized growth	259	bud neck	-	-	
