Synced to SGD on Sat Jul  8 00:51:38 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	original p	original r 	original c	
1	A	1	YDL126C	CDC48	AAA family ATPase CDC48	AAA ATPase; subunit of polyUb-selective segregase complex involved in ERAD, INM-associated degradation (INMAD), mitotic spindle disassembly, macroautophagy, PMN, ribosome-associated degradation, ribophagy, homotypic ER membrane fusion, SCF complex disassembly, cell wall integrity during heat stress, and telomerase regulation; mobilizes membrane-anchored transcription factors by regulated Ub/proteasome-dependent processing (RUP); human ortholog VCP complements a cdc48 mutant	mitotic cell cycle, response to chemical, organelle fission, chromatin organization, cytoskeleton organization, organelle fusion, proteolysis involved in cellular protein catabolic process, chromosome segregation, histone modification, membrane fusion, RNA catabolic process, regulation of protein modification process, protein modification by small protein conjugation or removal, regulation of DNA metabolic process	hydrolase activity, ubiquitin-like protein binding, enzyme regulator activity, ATPase activity	nucleus, ribosome, mitochondrion, endomembrane system, membrane, site of polarized growth, mitochondrial envelope, endoplasmic reticulum, cytoplasm	4	A	1	-	
1	A	2	YBL041W	PRE7	proteasome core particle subunit beta 6|PRS3	Beta 6 subunit of the 20S proteasome	proteolysis involved in cellular protein catabolic process	molecular_function	nucleus, membrane, endomembrane system, endoplasmic reticulum, cytoplasm	3	A	1	-	
1	A	3	BLANK	BLANK	-	-	-	-	-	4	A	2	-	
1	A	4	YBL050W	SEC17	RNS3	Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP	vacuole organization, organelle fusion, vesicle organization, Golgi vesicle transport, membrane fusion	enzyme regulator activity	vacuole, membrane, cytoplasm	3	A	2	-	
1	A	5	YDL141W	BPL1	biotin--[acetyl-CoA-carboxylase] ligase BPL1|ACC2	Biotin:apoprotein ligase; covalently modifies proteins with the addition of biotin, required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon; human homolog HLCS can complement yeast BPL1 mutant	other	ligase activity	nucleus, cytoplasm	4	A	3	-	
1	A	6	YBL073W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the essential gene AAR2/YBL074C	biological_process	molecular_function	cellular_component	3	A	3	-	
1	A	7	BLANK	BLANK	-	-	-	-	-	4	A	4	-	
1	A	8	BLANK	BLANK	-	-	-	-	-	3	A	4	-	
1	A	9	YDL145C	COP1	coatomer subunit alpha|SOO1|RET1|SEC33	Alpha subunit of COPI vesicle coatomer complex; complex surrounds transport vesicles in the early secretory pathway	Golgi vesicle transport	ubiquitin-like protein binding	membrane, cytoplasmic vesicle, endomembrane system, cytoplasm, Golgi apparatus	4	A	5	-	
1	A	10	YBL076C	ILS1	isoleucine--tRNA ligase ILS1	Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A	tRNA aminoacylation for protein translation, cellular amino acid metabolic process	ligase activity	cytoplasm	3	A	5	-	
1	A	11	BLANK	BLANK	-	-	-	-	-	4	A	6	-	
1	A	12	YBL077W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene ILS1/YBL076C	biological_process	molecular_function	cellular_component	3	A	6	-	
1	A	13	YDL148C	NOP14	snoRNA-binding rRNA-processing protein NOP14|UTP2	Nucleolar protein; forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA	rRNA processing, ribosomal small subunit biogenesis	RNA binding	nucleus, nucleolus, mitochondrion, cytoplasm	4	A	7	-	
1	A	14	BLANK	BLANK	-	-	-	-	-	3	A	7	-	
1	A	15	YDL150W	RPC53	DNA-directed RNA polymerase III subunit C53|C53|RPC4	RNA polymerase III subunit C53	transcription from RNA polymerase III promoter	transferase activity, nucleotidyltransferase activity	nucleus	4	A	8	-	
1	A	16	BLANK	BLANK	-	-	-	-	-	3	A	8	-	
1	A	17	YDL152W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SAS10/YDL153C, a component of the small ribosomal subunit processosome	biological_process	molecular_function	cellular_component	4	A	9	-	
1	A	18	BLANK	BLANK	-	-	-	-	-	3	A	9	-	
1	A	19	YDL153C	SAS10	rRNA-processing protein SAS10|UTP3	Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit; disrupts silencing when overproduced; mutant has increased aneuploidy tolerance; essential gene	rRNA processing, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus	4	A	10	-	
1	A	20	BLANK	BLANK	-	-	-	-	-	3	A	10	-	
1	A	21	YDL163W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CDC9/YDL164C encoding DNA ligase	biological_process	molecular_function	cellular_component	4	A	11	-	
1	A	22	BLANK	BLANK	-	-	-	-	-	3	A	11	-	
1	A	23	YDL164C	CDC9	DNA ligase (ATP) CDC9|MMS8	DNA ligase I found in nucleus and mitochondria; essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair, base excision repair, and recombination; DNA ligase I mutants trigger ubiquitination of PCNA at K107, facilitating Rad59p-mediated bypass of unligated Okazaki fragments; human homolog LIG1 can complement yeast cdc9 temperature-sensitive mutant at restrictive temperature	mitotic cell cycle, DNA repair, DNA replication, cellular response to DNA damage stimulus, DNA recombination	ligase activity	nucleus, chromosome, mitochondrion, cytoplasm	4	A	12	-	
1	A	24	BLANK	BLANK	-	-	-	-	-	3	A	12	-	
1	B	1	BLANK	BLANK	-	-	-	-	-	2	A	1	-	
1	B	2	YAL025C	MAK16	ribosome biosynthesis protein MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	rRNA processing, ribosomal large subunit biogenesis	molecular_function	nucleus, nucleolus	1	A	1	-	
1	B	3	BLANK	BLANK	-	-	-	-	-	2	A	2	-	
1	B	4	YBL026W	LSM2	Sm-like protein LSM2|SNP3|SMX5	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress	RNA splicing, mRNA processing	RNA binding	nucleus, nucleolus, cytoplasm	1	A	2	-	
1	B	5	BLANK	BLANK	-	-	-	-	-	2	A	3	-	
1	B	6	BLANK	BLANK	-	-	-	-	-	1	A	3	-	
1	B	7	BLANK	BLANK	-	-	-	-	-	2	A	4	-	
1	B	8	YBR002C	RER2	ditrans,polycis-polyprenyl diphosphate synthase	Forms the dehydrodolichyl diphosphate syntase (DDS) complex with NUS1; major enzyme of polyprenol synthesis in both the endoplasmic reticulum (ER) and in lipid droplets; participates in ER protein sorting; human ortholog DHDDS functionally complements the heat sensitive growth defect of a ts allele, and is associated with retinitis pigmentosa	protein glycosylation, Golgi vesicle transport, lipid metabolic process	transferase activity	endomembrane system, endoplasmic reticulum, cytoplasm	1	A	4	-	
1	B	9	YLL003W	SFI1	-	Centrin (Cdc31p)-binding protein required for SPB duplication; localizes to the half-bridge of the spindle pole body (SPB); required for progression through G(2)-M transition; phosphorylated by Cdc28p-Clb2p and by Cdc5p; dephosphorylated by Cdc14p; has similarity to Xenopus laevis XCAP-C	mitotic cell cycle, cytoskeleton organization, organelle assembly	molecular_function	cytoskeleton, microtubule organizing center, cytoplasm	2	A	5	-	
1	B	10	YBR049C	REB1	DNA-binding protein REB1|GRF2	RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription	transcription from RNA polymerase I promoter, DNA-templated transcription, initiation, transcription from RNA polymerase II promoter, DNA-templated transcription, termination	DNA binding	nucleus	1	A	5	-	
1	B	11	YLL008W	DRS1	putative ATP-dependent RNA helicase	Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles	rRNA processing, organelle assembly, ribosomal large subunit biogenesis, ribosome assembly	hydrolase activity, ATPase activity, helicase activity	nucleus, nucleolus	2	A	6	-	
1	B	12	YBR136W	MEC1	protein kinase MEC1|RAD31|SAD3|ESR1	Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened, dysfunctional telomeres	meiotic cell cycle, telomere organization, protein phosphorylation, organelle fission, chromatin organization, DNA replication, cellular response to DNA damage stimulus, histone modification, DNA recombination, regulation of DNA metabolic process	kinase activity, transferase activity	nucleus, mitochondrion, cytoplasm	1	A	6	-	
1	B	13	YLL034C	RIX7	putative AAA family ATPase RIX7	Putative ATPase of the AAA family; required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions	ribosomal subunit export from nucleus, ribosomal large subunit biogenesis, nuclear transport	ATPase activity, hydrolase activity	nucleus, nucleolus	2	A	7	-	
1	B	14	YBR198C	TAF5	chromatin modification protein|TafII90|TAF90	Subunit (90 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification	peptidyl-amino acid modification, protein acylation, chromatin organization, histone modification, DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	chromatin binding, nucleic acid binding transcription factor activity, structural molecule activity, ubiquitin-like protein binding	nucleus	1	A	7	-	
